income,fixed_expenses,weekly_food_spending,weekly_transport_spending,subscription_services_count,employment_status,age,last_month_spending,savings_last_month,next_month_spending_prediction,saving_suggestion
36479000,8782000,424000,291000,10,Full-time,18,9536000,26943000,13473144.98,Kurangi langganan aplikasi jasa yang jarang digunakan.
21210000,8085000,2022000,261000,10,Part-time,27,5822000,15388000,17906793.91,Kurangi langganan aplikasi jasa yang jarang digunakan.
16353000,5963000,1712000,506000,2,Student,41,4868000,11485000,13229560.42,"Kurangi makan di luar, coba masak sendiri di rumah."
34888000,9134000,2305000,642000,5,Businessman,45,17611000,17277000,26014031.31,"Sudah cukup hemat, pertahankan kebiasaan menabung."
41261000,9286000,2869000,673000,5,Full-time,28,5857000,35404000,25441676.22,"Sudah cukup hemat, pertahankan kebiasaan menabung."
35876000,14080000,2717000,670000,1,Businessman,46,7751000,28125000,34074022.53,"Kurangi makan di luar, coba masak sendiri di rumah."
47740000,15364000,1356000,517000,9,Businessman,53,6000000,41740000,27698826.41,Kurangi langganan aplikasi jasa yang jarang digunakan.
27880000,8256000,2466000,616000,7,Freelance,50,3474000,24406000,22509476.98,Kurangi langganan aplikasi jasa yang jarang digunakan.
34137000,8455000,452000,926000,6,Businessman,32,5335000,28802000,17357682.07,Kurangi langganan aplikasi jasa yang jarang digunakan.
42197000,11242000,2521000,702000,0,Part-time,56,19081000,23116000,25398261.71,"Sudah cukup hemat, pertahankan kebiasaan menabung."
31058000,8713000,2230000,855000,10,Full-time,43,24044000,7014000,23294748.76,Kurangi langganan aplikasi jasa yang jarang digunakan.
36117000,7585000,2787000,168000,6,Freelance,28,5145000,30972000,21762571.61,Kurangi langganan aplikasi jasa yang jarang digunakan.
35748000,12037000,676000,228000,4,Businessman,28,31467000,4281000,21671829.74,"Sudah cukup hemat, pertahankan kebiasaan menabung."
5103000,1739000,559000,130000,9,Freelance,37,4282000,821000,4769667.247,Kurangi langganan aplikasi jasa yang jarang digunakan.
